temple_name,address,prefecture,latitude,longitude,maps_url,regions
Heian Jingu Shrine,"97 Okazaki Nishitennocho, Sakyo Ward, Kyoto, 606-8341, Japan",Kyoto,35.0159823,135.7824263,http://maps.google.com/?cid=8484457972734838095,Kyoto
Heitate Shrine,"712 Ono, Yamato, Kamimashiki District, Kumamoto 861-3905, Japan",Kumamoto,32.6871196,131.1357554,http://maps.google.com/?cid=15784129938922197002,Kumamoto
Higashi Hongan-ji Temple,"Japan, 〒600-8505 Kyoto, Shimogyo Ward",Kyoto,34.9909478,135.7584754,http://maps.google.com/?cid=3310036006664063322,Kyoto
Higashiyama Kaii Setouchi Art Museum,"224-13 Shamijima, Sakaide, Kagawa 762-0066, Japan",Kagawa,34.3494188,133.8241242,http://maps.google.com/?cid=16501982464196278296,Kagawa
Hikiniku to Come (Kichijoji),"Japan, 〒180-0004 Tokyo, Musashino, Kichijoji Honcho, 2 Chome−8−3 １Ｆ",Tokyo,35.7058316,139.5777871,http://maps.google.com/?cid=2802556918696748575,Tokyo
Himawari Shokudo 2,"1 Chome-5-18 Jinzuhonmachi, Toyama, 930-0008, Japan",Toyama,36.7017876,137.2079543,http://maps.google.com/?cid=11775447346186904665,Toyama
Hohisayamaseson Temple,"643 Takeda, Sado, Niigata 952-0302, Japan",Niigata,37.9723164,138.3688093,http://maps.google.com/?cid=12492964264475761015,Niigata
Hokkaido Jingu,"474 Miyagaoka, Chuo Ward, Sapporo, Hokkaido 064-0959, Japan",Hokkaido,43.054333,141.3077928,http://maps.google.com/?cid=17045528883461805832,Hokkaido
Honkoji,"1-17 Furukawacho Ninomachi, Hida, Gifu 509-4235, Japan",Gifu,36.233847,137.1881034,http://maps.google.com/?cid=1334773469061548706,Gifu
Honmachi Oribe Street,"6 Chome-6 Honmachi, Tajimi, Gifu 507-0033, Japan",Gifu,35.3343783,137.1331646,http://maps.google.com/?cid=9972900885593027648,Gifu
Honpuku Temple,"1310 Ura, Awaji, Hyogo 656-2305, Japan",Hyogo,34.5463873,134.9890286,http://maps.google.com/?cid=7399871864198218376,Hyogo
Honraku Temple,"Oshima-123 Anabukicho Mishima, Mima, Tokushima 777-0001, Japan",Tokushima,34.0525088,134.100921,http://maps.google.com/?cid=4439080260217244918,Tokushima
Hotoku-ji Temple,"5 Chome-1608 Kawauchicho, Kiryu, Gunma 376-0041, Japan",Gunma,36.4528512,139.3173585,http://maps.google.com/?cid=14820244915632087452,Gunma
Hozugawa River Boat Ride (Hozugawa Kudari),"Japan, 〒621-0005 Kyoto, Kameoka, Hozucho, Shimonakajima−２",Kyoto,35.017202,135.5868593,http://maps.google.com/?cid=3737094025798721879,Kyoto
"Hydrangea Garden, Mimurotoji Temple","Okunoike-10-16 Todo, Uji, Kyoto 611-0013, Japan",Kyoto,34.8995622,135.8178806,http://maps.google.com/?cid=2921656286340357077,Kyoto
Hyogo Prefecture Awaji Hanasajiki,"2805-7 Kusumoto, Awaji, Hyogo 656-2301, Japan",Hyogo,34.5535521,134.9780291,http://maps.google.com/?cid=9690324968726253061,Hyogo
Hyotei,"35 Nanzenji Kusakawacho, Sakyo Ward, Kyoto, 606-8437, Japan",Kyoto,35.0114133,135.7867623,http://maps.google.com/?cid=10413292184413177308,Kyoto
Hōonji Temple (500 Rakan),"31-5 Nasukawacho, Morioka, Iwate 020-0016, Japan",Iwate,39.7122471,141.1561871,http://maps.google.com/?cid=6851817025136466445,Iwate
ICE MONSTER omote-sando,"6 Chome-35-6 Jingumae, Shibuya, Tokyo 150-0001, Japan",Tokyo,35.6690649,139.7025207,http://maps.google.com/?cid=7522836698653892145,Tokyo
Ibuki Udon Kichijoji,"1 Chome-1-1 Gotenyama, Musashino, Tokyo 180-0005, Japan",Tokyo,35.7031424,139.5772546,http://maps.google.com/?cid=11889922840241589079,Tokyo
Ichijoji Nakatani,"5 Ichijoji Hananokicho, Sakyo Ward, Kyoto, 606-8151, Japan",Kyoto,35.0436966,135.7924904,http://maps.google.com/?cid=9585284087943822204,Kyoto
Ichimonjiya Wasuke,"Japan, 〒603-8243 Kyoto, Kita Ward, Murasakino Imamiyacho, ６９−69",Kyoto,35.0453272,135.7427836,http://maps.google.com/?cid=8057478357884529694,Kyoto
Ikuta-jinja Shrine,"1 Chome-2-1 Shimoyamatedori, Chuo Ward, Kobe, Hyogo 650-0011, Japan",Hyogo,34.6947159,135.1907243,http://maps.google.com/?cid=2755195261077096520,Hyogo
